title,node_id,path,short_description,uuid
"_QAG Service_2",384381,"/qag-service2","Sapien faucibus et molestie ac feugiat sed lectus vestibulum mattis. Neque laoreet suspendisse interdum consectetur libero id faucibus.","28bdb920-11b9-43df-a334-07c02fdb1b03"
"_QAG Service_1",384376,"/qag-service1","Nam at lectus urna duis convallis convallis tellus id interdum. Eu ultrices vitae auctor eu augue.","0783d89b-d408-4286-9c4c-488227af30db"
"Casey Arborway Project",384121,"/casey-arborway-project","The Monsignor William J. Casey Overpass is the elevated section of Route 203 which carries the Arborway over Washington and South Street in the Jamaica Plain neighborhood of the City of Boston.","23f61de2-9019-456d-80a6-3b98d3981b56"
"DCR Watershed Fishing",383921,"/dcr-watershed-fishing","Find out about fishing on DCR property in the Quabbin Reservoir, Wachusett Reservoir, and Sudbury Reservoir watersheds. Shoreline fishing is allowed in the Ware River watershed except in restricted areas. Please follow all other fishing rules.","f6fefdc5-327c-4dc7-97fb-256133f28001"
"DCR Watershed Hunting",383871,"/dcr-watershed-hunting","Find out about hunting on DCR Division of Water Supply Protection property in the Quabbin Reservoir and Wachusett Reservoir watersheds.","8fc13649-c2c7-4f18-b620-75269e902f4d"
"Need help with a question? Contact DLS.",383311,"/need-help-with-a-question-contact-dls","Use the form below for any questions you have for the Department of Labor Standards (DLS).","d888c9ff-3d0e-4eca-8d2a-40b0758c1486"
"Massachusetts Labor Market Interactive Data",383306,"/massachusetts-labor-market-interactive-data","Interactive data for the Massachusetts labor market.","1c2989e3-2139-4bd6-9b6b-1f4942f21b0a"
"Handwashing",383096,"/handwashing","Handwashing is one of the easiest and most effective ways to protect yourself and your loved ones from many communicable diseases.","b1df6fd9-f66e-46bb-b823-1307d3ac0eef"
"One Care Administrative Information",383156,"/one-care-administrative-information","Use the links below for One Care administrative information","93c990ba-f2d5-4f77-ba61-90d0ea9da413"
"Jury Duty Videos and Educational Materials",382906,"/jury-duty-videos-and-educational-materials","A collection of jury duty videos and educational materials","ab4bdcf1-a19f-48ed-b95f-0f2c172b1dda"
"Additional Resources",382891,"/additional-resources","Helpful resources from the Executive Office for Administration and Finance.","3ffa4aff-238c-4c83-a58e-2ba602adbbf6"
"MassDOT Speed Zoning",382876,"/massdot-speed-zoning","It is our goal to provide means to promote safe and efficient traffic flow in the Commonwealth.","add2225b-6aa4-466c-a049-e26e7048ddb4"
"Need help with a question? Contact EOLWD.",382601,"/need-help-with-a-question-contact-eolwd","Use the form below for any questions you have for the Executive Office of Labor and Workforce Development (EOLWD).","9651a09f-9e9d-42ff-a73c-c328f6109165"
"How to register for a Career Center Seminar (CCS)",382586,"/how-to-register-for-a-career-center-seminar-ccs","Find instructions below to register for a required MassHire Career Center Seminar.","02d3cc5c-fad7-441f-a1e4-40aeedda412b"
"MassHealth contract with Senior Care Options (SCO) (Staging Page)",382566,"/masshealth-contract-with-senior-care-options-sco-staging-page","Contracts between MassHealth and Senior Care Options (SCO)","f515a3ab-2e58-44a2-8358-c87ba7bba9be"
"Assisted Living",382451,"/assisted-living","Find resources and information for Assisted Living Residence Consumers and Providers.","f121eacf-4449-4cb9-a552-efb829c79942"
"Traffic Signs and Signals",382336,"/traffic-signs-and-signals","Signs and signals keep drivers safe and informed on the road","6f189849-04ee-4d2f-8e77-732cb5b2a0da"
"Duals Demonstration 2.0",381951,"/duals-demonstration-20","See below for information on the Duals Demonstration 2.0 and upcoming meetings","02609c33-9472-4364-9fa4-0066a3a9eef8"
"Tips for RMV Success",381916,"/tips-for-rmv-success","Review these tips to be successful at the RMV - either online or in-person.","68914e01-98a6-44a9-81e2-ab481259af38"
"Vital Records Data and Publications",381776,"/vital-records-data-and-publications","The Registry of Vital Records and Statistics collects and produces statistical data about births, deaths and other vital events in the Commonwealth.","794170a3-6d95-4ce2-b38f-77a56b0996a3"
"Safe Routes To School",381171,"/safe-routes-to-school","Providing safe places for children to walk and bike, starting with their trip to school","488fb214-97e7-4164-b1ad-65a0f92776d3"
"2018 Low Plate Lottery",381146,"/2018-low-plate-lottery","201 low number lottery plates are available this year!","343c22f0-4a0f-4483-939d-3362d0b99b54"
"Operate an Assisted Living Residence",380931,"/operate-an-assisted-living-residence","Find resources and information on this page for Assisted Living Residence Operators.","a317ebca-8993-40a5-9052-8fe677d739dd"
"Community Health Workers",380901,"/community-health-workers","Information for community health workers, CHW supervisors, CHW employers, and policy makers","4411094a-432f-4312-ab1c-5a665f2e7996"
"Learn about Assisted Living",380611,"/learn-about-assisted-living","Find resources and information on this page for Assisted Living Residence Consumers.","7bf92a17-1a1c-49a9-83c9-e608d11a4e71"
"Route 9 Corridor Improvement Project",380546,"/route-9-corridor-improvement-project","This project includes full reconstruction of about 2¼ miles of Route 9 in Hadley, from Middle Street (Rt. 47) to North/South Maple Street.","a7c3c599-8969-4703-942a-b024bacd8696"
"MassDOT Highway Noise Abatement",380406,"/massdot-highway-noise-abatement","MassDOT's Highway Division has programs in place to manage highway noise pollution in the Commonwealth.","7ab81992-6ea4-4f80-a6ca-ac525e34d48b"
"Q&A Re: Janus v American Fed. of State, County, Mun. emp.",380031,"/qa-re-janus-v-american-fed-of-state-county-mun-emp","Department of Labor Relations Question and Answer regarding impacts of Janus v. American Federation of State, County, and Municipal Employees, Council 31","32486d08-340f-4243-80c1-538dbaed8b64"
"EEC Reports and Research",379176,"/eec-reports-and-research","Department of Early Education and Care (EEC) Research and Reports","3337ea13-b410-4a84-ad65-7635e1f05282"
"Hepatitis B (HBV)",378406,"/hepatitis-b-hbv","Information and resources about Hepatitis B","b1f046a6-8fc1-431d-87e7-19800c2091b7"
"Worksite Wellness",378156,"/worksite-wellness","Adults spend much of their time at work, so a culture of wellness in the workplace can be an important factor in overall health. Worksite wellness programs are a great way to support healthy behavior.","e2089570-ca64-49c6-81ec-581c408e04bf"
"The Massachusetts Rural Transit Assistance Program (MArtap)",378071,"/the-massachusetts-rural-transit-assistance-program-martap","MArtap is a federally funded, state-administered program that offers training, education and technical assistance programs.","f11277fd-b111-41fd-aece-49b4e48ca368"
"Interconnecting Renewable Energy Facilities",378056,"/interconnecting-renewable-energy-facilities","Information on interconnecting renewable energy facilities to the electric company's electric grid.","c6efdc17-cf64-4dcb-be51-3479385bc9bb"
"Partner Services Program (PSP)",377686,"/partner-services-program-psp","Information about Partner Services provided by the Massachusetts Department of Public Health","5655b6b3-7702-447d-90c1-c1d7b2d3676c"
"Programs and Services for Forest Land Owners",377641,"/programs-and-services-for-forest-land-owners","The DCR's Bureau of Forest Fire Control and Forestry offer various programs for all land owners make the most of their urban and wooded forests.","cc1a25a8-d38f-4f4a-b4bd-e4dce2fe9ab7"
"Hospital Licensure",376556,"/hospital-licensure","State licensure information for Massachusetts hospitals.","c2d19087-51cc-4ead-b001-3a4d202636d8"
"DSB News",376136,"/dsb-news","Latest news and information related to DSB process","e14aac60-06a0-435a-90e8-fe48b39a7bc2"
"Sexually Transmitted Diseases (STD)",375811,"/sexually-transmitted-diseases-std","STD information, treatment guidelines, data, and reports","e0ac8eac-d21a-4160-a9da-1b6da8d6cd8e"
"Highway Surveys",375511,"/highway-surveys","The MassDOT Survey section includes a Boston Survey Office and Survey Departments in each District office.","76df607b-fd70-4e7b-bb4d-ec6f740b3474"
"LGBTQ Youth",374996,"/lgbtq-youth","Information about resources available for LGBTQ youth.","1c00ed97-2ec9-4c33-bf74-e99c62f834ec"
"Highway Layout Plans",373771,"/highway-layout-plans","The Layout Section prepares and reviews layout plans and legal documents for setting the limits of State Highways.","907d8895-e695-4e29-be47-807623177c70"
"Amusements, Challenge Course, Climbing Wall and Inflatables Licensing",373681,"/amusements-challenge-course-climbing-wall-and-inflatables-licensing","Amusement devices are regulated by the Amusement Advisory Board","db8ffdde-868a-438e-b4cf-4a3aa9686c24"
"Inflatable Amusement Devices",373381,"/inflatable-amusement-devices","Companies that rent or sell inflatable amusements such as bouncy houses are regulated by the Commonwealth.","b9668d3e-d568-492b-a156-d4e2949812b1"
"Connect to free resources through a Business Service Representative",373376,"/connect-to-free-resources-through-a-business-service-representative","Get in contact with a business service representative","a804923c-444a-45db-8915-e34d5a1101e8"
"Hire qualified candidates",373371,"/hire-qualified-candidates","Use these resources to hire qualified candidates","ef141a46-dc1e-4d2c-b050-2b26da582801"
"Find a youth employment center near you",373361,"/find-a-youth-employment-center-near-you","Learn about youth employment","0491803e-f305-471f-ba26-11097df10fa3"
"Electronic Control Weapons",372461,"/electronic-control-weapons","Here you'll find information about electronic control weapons in Massachusetts and how the Executive Office of Public Safety and Security analyzes data on their use.","bb94c55c-1885-40b8-a810-40af56a8afe5"
"I-91 Viaduct Study",370271,"/i-91-viaduct-study","Conceptual planning study of Interstate 91 (I-91)","77fdf710-702c-4fa3-bba3-6c6580a5e8bb"
"Highway Asset Management",369816,"/highway-asset-management","MassDOT's goal is to maximize the useful life of each asset through careful preservation, rehabilitation, and maintenance","c45f855c-d5d6-4953-8b3d-4417843406d4"
"Highway Utility Relocation",369491,"/highway-utility-relocation","MassDOT's Utility Section works with utility owners and contractors to coordinate utility relocation before construction.","52b1c67e-23bd-410c-a5d9-c700ec2045f2"
"Research & Standards",369316,"/research-standards","The Office of Research and Standards (ORS) provides scientific expertise to MassDEP in environmental health, toxicology, standard setting, ecological and human health risk assessment, chemistry and statistics.","fd8661b9-5f49-4ab8-90f0-f48712127022"
"Office 365",369261,"/office-365","O365 is a modern and secure suite of Cloud-based email and tools that will make work more collaborative, productive, and fun.","c48ff06a-12da-4736-a676-2eb12ff09a8f"
"International Registration Plan (IRP)",368516,"/international-registration-plan-irp","IRP is a registration reciprocity agreement among states of the U.S., the District of Columbia, and provinces of Canada. IRP is a program for licensing commercial vehicles traveling in 2 or more IRP jurisdictions.","24966fb7-bca1-4ed3-a69b-41495a56cf3d"
"Community Health Assessment",366861,"/community-health-assessment","Learn about the relationship between the environment and public health.","435d7f76-23b2-4af3-b9cc-6491ec336d27"
"State Public Health Laboratory Services",366786,"/state-public-health-laboratory-services","The Massachusetts State Public Health Laboratory provides comprehensive public health laboratory services for diagnosis, surveillance, investigation, and prevention consistent with public health goals.","3d7aaa0e-cb10-42f2-a869-496c16d1f45c"
"Work-related Injury and Illness Data",366726,"/work-related-injury-and-illness-data","View data or report work-related injuries and illnesses to the Department of Public Health","7e10a02f-9104-42b7-95ae-2b448bd8da69"
"Environmental Issues & Sites in Southeastern Massachusetts",366721,"/environmental-issues-sites-in-southeastern-massachusetts","Top projects, facilities and sites overseen by MassDEP's Southeast Regional Office.","5435fdc7-d3dc-4ce5-a6a2-33da8394c20e"
"State Police Media Relations",366316,"/state-police-media-relations","Here you'll find timely and accurate information regarding our mission which includes our law enforcement and crime prevention efforts, responses to critical incidents, and public safety and security operations.","c11841d5-9b37-4a51-8f2c-4f223909a529"
"Directions: Resources for Your Child's Care",366036,"/directions-resources-for-your-childs-care","An organizing notebook and a resource guide for families of children with special health care needs.","fe3af3d3-000e-4405-8d2f-845ee763f142"
"Tunnel Safety",365921,"/tunnel-safety","Ongoing Steps Ensuring Safety of the Tunnel System","c1767fa6-941c-4e90-9ab7-79df8d4d4b45"
"Choose Safe Places for Early Care and Education",365756,"/choose-safe-places-for-early-care-and-education","We help early care and education programs choose locations safe from environmental hazards.","6ba7caff-48e7-4f91-96ff-49ddae07d91d"
"APPLETREE",365646,"/appletree","Supporting Massachusetts to reduce exposure to hazardous substances in the environment.","9423a9f7-cb65-4598-9ebe-5fbd251f7c40"
"Bass River Bridge Replacement Project",364501,"/bass-river-bridge-replacement-project","The Bass River Bridge carries Route 28 over the Bass River between the towns of Yarmouth and Dennis.","af6f99c3-06e7-438f-be72-d4aec5852c46"
"Highway Plans & Records",364491,"/highway-plans-records","The Plans & Records Office is responsible for the maintenance of historical and current engineering plans, and related documents.","9ef53d34-0e15-4981-8ccb-1794568a1882"
"Needham-Wellesley I-95 Add-A-Lane",364421,"/needham-wellesley-i-95-add-a-lane","Construction began in January 2015 and is expected to be completed in Spring 2019.","3b1908c0-1427-4a82-933c-cbc69a39ce3f"
"Hurricanes",364361,"/hurricanes","Massachusetts is susceptible to tropical storms and hurricanes. Residents, visitors, and businesses are urged to prepare.","7a1a4dc0-040f-452e-aad6-47f7f7157f8e"
"Mobile Integrated Health Care and Community EMS",363786,"/mobile-integrated-health-care-and-community-ems","Information about Mobile Integrated Health (MIH) and Community Paramedicine in Massachusetts.","f5f09afc-45b7-4c47-8ab8-029bbbe67b3e"
"Assisted Living Residence search",363186,"/assisted-living-residence-search","Find certified Assisted Living Residences (ALRs) in Massachusetts near you.","c138acef-987f-4aa4-a0ce-852d204198f0"
"Sign up for ListServ Communications",362731,"/sign-up-for-listserv-communications","Instructions for health care facilities to sign up for electronic transmission of correspondence (ListServ) from DPH.","73640ede-2f7f-49fe-996f-b5948fd9957f"
"Healthcare Associated Infections (HAIs)",362661,"/healthcare-associated-infections-hais","Information about reducing and preventing healthcare-associated infections","7e844a55-3146-4ee4-80a1-719f2db2cffa"
"Chelsea/Route 1 Viaduct Rehabilitation Project",362386,"/chelsearoute-1-viaduct-rehabilitation-project","To ensure the safety of this critical connection, MassDOT has assembled a team to rehabilitate and restore the superstructure and roadway to a state of good repair.","c7679ed3-2a31-42e7-9dcc-d14998423b5a"
"EEC Professional Qualifications Certification",362216,"/eec-professional-qualifications-certification","The Department of Early Education and Care (EEC) oversees the certification of early educators in EEC-licensed Group Child Care programs.","e8559ccd-7482-414a-ada8-14e553a7d6e7"
"Hepatitis A",361871,"/hepatitis-a","Information and resources about Hepatitis A","8dbcdada-1326-40b1-9188-a0a927fdc8f2"
"Allston I-90 Intermodal Interchange Improvement Project",361806,"/allston-i-90-intermodal-interchange-improvement-project","Replacing the Allston Viaduct and reducing the footprint of the existing Allston Interchange toll plaza.","7e444bc1-9130-447f-953b-b0d4d1e1fe71"
"Part-time Police Academies",360516,"/part-time-police-academies","This course is an entry-level training program for a person hired or interested in a part-time reserve/intermittent position in which he or she will exercise police powers as a police officer.","db06bf5e-62a1-4117-aecb-672e815611f3"
"Infectious disease surveillance, reporting, and control",359281,"/infectious-disease-surveillance-reporting-and-control","Local health departments, clinical providers, and laboratories will find information here regarding the reporting and control of infectious disease in Massachusetts.","5fe6ad2c-b927-495a-b292-021dffa37e22"
"Berkshire Flyer Study",358256,"/berkshire-flyer-study","A study concerning potential seasonal rail service","042e67ee-0b7a-4417-b24a-b8f8bda8dead"
"I-495/I-90 Interchange Improvements",358106,"/i-495i-90-interchange-improvements","Our goal is to improve safety and address traffic conditions at the interchange of I-495 and I-90.","a2341484-4e49-4537-9e4d-934250aed7d1"
"Syringe service programs",357641,"/syringe-service-programs","Massachusetts Department of Public Health supported syringe services programs (SSPs)","21a03274-6e64-402d-a517-d10563959e09"
"Hepatitis C (HCV)",357351,"/hepatitis-c-hcv","Hepatitis C virus information, screening and treatment guidelines, and educational materials","135b990c-80b4-44be-8a93-8661ebda3c2f"
"Lower Mystic Regional Working Group",356226,"/lower-mystic-regional-working-group","A study concerning the Lower Mystic River area and transportation improvements.","ddb8af2d-d37b-403c-91b3-ea1c4bdaffa4"
"North Washington Street Bridge Replacement",356196,"/north-washington-street-bridge-replacement","Construction is anticipated to begin in late summer/early fall 2018, continuing through 2022.","2cf0d040-4209-4d64-a32b-1b1ed67b296b"
"Transportation Safety",356136,"/transportation-safety","Learn how to reduce your risk on the road.","78960bd8-39cc-41e5-9588-e6b31432feb2"
"Learn About Marijuana",356021,"/learn-about-marijuana","Get the facts you need to make informed choices. Learn what you can and can’t do, and how marijuana can affect your body, mind, and health.","abee130c-c270-45a0-a5fa-aa2731065d5e"
"Online Verification Instructions and Frequently Asked Questions - MT",355836,"/online-verification-instructions-and-frequently-asked-questions-mt","Verification of your license or Certificate of Regulatory Boards is now only available online.","ed644d19-3a2c-4e5d-b02a-68ddacf8e895"
"Online Verification Instructions and Frequently Asked Questions - AH",355791,"/online-verification-instructions-and-frequently-asked-questions-ah","Verification of your license or Certificate of Regulatory Boards is now only available online.","dd102e40-f644-45a1-a64d-c01692bdbf89"
"Meningitis",355731,"/meningitis","Learn about Meningitis infections and related vaccination requirements","6c189c46-adb0-4737-80bc-a37f36487e72"
"DCF Foster Care Review Volunteer",355526,"/dcf-foster-care-review-volunteer","You can volunteer your time to help foster children in the Commonwealth. Please review the information on these pages and consider becoming a foster care review volunteer.","5af81661-481f-4d7a-afdd-8e2799c4d4c4"
"Massachusetts Elder Identity Theft Coalition",355131,"/massachusetts-elder-identity-theft-coalition","Learn more about the work of the Massachusetts Elder Identity Theft Coalition, led by the Massachusetts Attorney General's Office.","71db01da-bea6-412b-b020-ce9a1780dc18"
"North South Rail Link Feasibility Reassessment Study",354991,"/north-south-rail-link-feasibility-reassessment-study","The study of connectivity between the MBTA north and south stations operated commuter rail systems.","74e10aad-636d-4109-b99d-7a9c62e60cd6"
"Stop Addiction in its Tracks",354811,"/stop-addiction-in-its-tracks","Tips for Protecting Your Kids from Addiction","9b20fe20-f048-4bdf-89bb-a356afd8d246"
"Application For OHV Event Non-Resident Registration Exemption",354221,"/application-for-ohv-event-non-resident-registration-exemption","Complete this form to request exemption for non-resident registration for an OHV event","5d46bc01-b275-42fb-9760-239273619d79"
"Our Organization",353901,"/our-organization","Learn about the Bureau of Special Education Appeals","bb59a051-03d9-43bd-a2c4-8d49374cfe03"
"Massachusetts Tobacco Cessation and Prevention Program (MTCP)",353221,"/massachusetts-tobacco-cessation-and-prevention-program-mtcp","MTCP is dedicated to reducing the health and economic burden of tobacco use in the Commonwealth of Massachusetts.","42ba8b8d-aab5-42e3-a11a-06a6199aa386"
"Health Care Facilities - Consumer Information",353131,"/health-care-facilities-consumer-information","Find information and resources about health care facilities in Massachusetts.","4faba99e-55bf-4f3c-9ade-ea33d1d24393"
"Information for Rest Homes",352316,"/information-for-rest-homes","If you are running a rest home in Massachusetts, you can find information here.","b0e64e38-6ce0-43eb-85b5-87e1b74eafac"
"HR Policies",352221,"/hr-policies","This page provides supervisors and staff with access to uniform information related to Human Resource policies in order to assure equitable and consistent application of these policies.","f4527b1c-dde8-4794-bbe7-0448849a015c"
"About the Health Policy Commission (HPC)",350891,"/about-the-health-policy-commission-hpc","The HPC’s goal is better health and better care – at a lower cost – across the Commonwealth.","f6691bf6-9ac6-49c0-877d-d3c7590012e2"
"Massachusetts Youth Employment and Safety Team (YES Team)",350696,"/massachusetts-youth-employment-and-safety-team-yes-team","Getting hurt is not in your job description","739a70d8-9851-4249-8145-fcf205ae972c"
"Trial Court Waste, Fraud, and Abuse Hotline",350506,"/trial-court-waste-fraud-and-abuse-hotline","The Massachusetts Trial Court has established a hotline, along with other methods, to receive reports of waste, fraud or abuse of Trial Court funds or property.","92118414-e950-4c5a-93dc-22216841b8c7"
"Sheet Metal Workers Licensing",350431,"/sheet-metal-workers-licensing","Find the requirements, applications and forms for all sheet metal workers","5fb097ba-d271-46fd-8c7b-125c17de5ddf"
"Licensure and Medicare & Medicaid Certification",350216,"/licensure-and-medicare-medicaid-certification","For health care facilities applying for state licensure as well as Medicare and/or Medicaid certification.","9ac17164-28b2-44a8-a064-4634a2680410"
"Special Programs - MCWT",349816,"/special-programs-mcwt","Find information about priority projects funded by the Massachusetts Clean Water Trust.","8ea731b9-8eea-4cb7-92c8-acf102d02bad"
"Route 18 Weymouth-Abington Improvements Project",349626,"/route-18-weymouth-abington-improvements-project","Reconstructing and widening Route 18 (Main Street/Bedford Street) in Weymouth and Abington.","0a692678-6b63-4365-8f37-60d07d3635b3"
"Medical Control Services",349371,"/medical-control-services","Learn about guidelines and see frequently asked questions.","2adf1b23-7bdb-4a21-95f9-5ac52b59bdfd"
"MassHealth Resources",349461,"/masshealth-resources","By clicking on the links below, you’ll be able to find important information, like how to contact MassHealth and how to access other MassHealth resources.","ed591bfc-55ce-4cee-b92f-88c56702b41c"
"Intelligent Transportation Systems",349001,"/intelligent-transportation-systems","MassDOT has been using Intelligent Transportation Systems (ITS) throughout the Commonwealth for over 20 years.","d22e6b36-b8b2-4a58-bc4c-9fc6579e8241"
"Temporary Nursing Service Agency (Nursing Pool)",348611,"/temporary-nursing-service-agency-nursing-pool","Information for temporary nursing service agencies to register with the Department of Public Health.","586d44f2-e74b-45a6-b491-2423d7d73169"
"Office of Private Occupational School Education Information and Services",347961,"/office-of-private-occupational-school-education-information-and-services","___","127673f9-6746-40ca-ae08-3d41072e63e7"
"Sports and recreation injury prevention",347611,"/sports-and-recreation-injury-prevention","Sports and recreation injury facts and prevention tips","f4133af9-7fec-4d73-896b-b2be58a2d762"
"Transportation Dispute Resolution",347101,"/transportation-dispute-resolution","This office makes fair and impartial decisions on disputes involving transportation issues.","e9f6482a-a2ed-45e0-a4f1-eab07b39557f"
"Report on Building the Massachusetts Seafood System",346391,"/report-on-building-the-massachusetts-seafood-system","A description of the challenges and opportunities facing the Commonwealth's seafood industry","859752da-02c2-44bd-8662-bec2c385ab1a"
"HIV Pre-Exposure Prophylaxis (PrEP)",346351,"/hiv-pre-exposure-prophylaxis-prep","Information about MDPH supported HIV PrEP Programs","abb3ca37-a511-4472-b7ae-f3b8367c2e67"
"Small Business Technical Assistance Grant Proposals",346066,"/small-business-technical-assistance-grant-proposals","Grant applications now being accepted","a3ef48a5-a4a8-44e3-bfde-12314d401580"
"Ambulatory Surgical Center Licensure",346041,"/ambulatory-surgical-center-licensure","Licensure information for clinics providing surgical care in Massachusetts.","28dac803-059f-4a29-8f83-85096b2ac15f"
"Sepsis Information",345951,"/sepsis-information","Learn more about what sepsis is, how to treat it, and explore more resources from the CDC.","4e8ce17b-4c77-40c5-89ef-0beb1d5fd6e8"
"Awards",344941,"/awards","Here you'll find information about awards associated with the Executive Office of Public Safety and Security.","3eaf93f6-f549-487e-a3f9-cc7f4c940877"
"MassHealth Personal Care Attendant (PCA) Program",344556,"/masshealth-personal-care-attendant-pca-program","Follow the links below for information about the MassHealth PCA program.","eddddedd-ea41-4dc8-bc56-48b6967fb574"
"Make a Public Records Request",344296,"/make-a-public-records-request","Request a public record from the Essex District Attorney's Office","70e4f1e3-b090-4fb6-9ed9-66f2491d8422"
"Opciones de Atención para Personas de la Tercera Edad (SCO)",342766,"/opciones-de-atencion-para-personas-de-la-tercera-edad-sco","¡Conozca SCO! ¡Un plan de atención médica que es tan individual como usted!","41d83bef-38ea-4896-8b95-6acad9e37024"
"El Programa de atención integral para personas de la tercera edad (PACE)",342676,"/el-programa-de-atencion-integral-para-personas-de-la-tercera-edad-pace","El Programa de atención integral para personas de la tercera edad (PACE)","25b81af2-705d-4858-a6b0-4c5ca7b59651"
"Cranberry Bog Program",340931,"/cranberry-bog-program","DER is helping to restore healthy wetlands on retired cranberry bogs.","f4d573cc-3de5-4f64-b0c5-7f3b776e8bbc"
"MVPvets",340116,"/mvpvets","Re-Careering Veterans Into the Business and Technology of Health Innovation","3956d8ea-8b14-4ec7-805b-da48ce0932ed"
"MassHealth for individuals and families, including people with disabilities",339721,"/masshealth-for-individuals-and-families-including-people-with-disabilities","MassHealth provides health and dental care benefits to individuals and families including people with disabilities","839eeeca-46b8-4b32-be1b-4c79831f9d00"
"MassHealth Demonstration Waiver",339771,"/masshealth-demonstration-waiver","Learn about MassHealth’s Section 1115 Demonstration Waiver","6cef01a9-8044-4b39-9052-69de8e7fc8ab"
